,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.33294515048848056,0.40103759919422005,0.3399523396370327,0.3206546837887967,0.57047320391147,0.24585567603720496,0.4089811832369182,0.3982352883744372
日经225,0.33294515048848056,0.0,0.2992542835730195,0.4632081638913184,0.4357569557237933,0.3121902754171264,0.257673284755536,0.303373883156254,0.29526829070585275
墨西哥BOLSA,0.40103759919422005,0.2992542835730195,0.0,0.3595474479160513,0.33821184376498153,0.4273976916452691,0.26412065315514116,0.4690332104630478,0.4454137784673171
恒生指数,0.3399523396370327,0.4632081638913184,0.3595474479160513,0.0,0.45491672422709106,0.3200274175254576,0.2631611791888789,0.3353954088817313,0.3148591650353374
韩国综合指数,0.3206546837887967,0.4357569557237933,0.33821184376498153,0.45491672422709106,0.0,0.3107126770591755,0.2587883799934321,0.30694999905678416,0.31462204480085343
荷兰AEX,0.57047320391147,0.3121902754171264,0.4273976916452691,0.3200274175254576,0.3107126770591755,0.0,0.2568078896449053,0.4138050796106354,0.4269283807567355
Costa Rica Indice Accionario,0.24585567603720496,0.257673284755536,0.26412065315514116,0.2631611791888789,0.2587883799934321,0.2568078896449053,0.0,0.24575396953612347,0.237374465881483
加拿大多伦多S&P/TSX 综合指数,0.4089811832369182,0.303373883156254,0.4690332104630478,0.3353954088817313,0.30694999905678416,0.4138050796106354,0.24575396953612347,0.0,0.41914785670838317
S&P CLX IPSA,0.3982352883744372,0.29526829070585275,0.4454137784673171,0.3148591650353374,0.31462204480085343,0.4269283807567355,0.237374465881483,0.41914785670838317,0.0
