,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.31057538262622436,0.3458756018513246,0.3052618623898528,0.29385594598251535,0.4884427829492247,0.25022861051637124,0.3594546934109324,0.310470925928645
日经225,0.31057538262622436,0.0,0.2772706396378458,0.3644147853772912,0.3873436059314493,0.3173316068098755,0.24975350053170425,0.2800631393927772,0.2681125799040916
墨西哥BOLSA,0.3458756018513246,0.2772706396378458,0.0,0.29043590371908035,0.2891990067749815,0.31919099869951817,0.23462587586832065,0.3453260655049085,0.3385438221465119
恒生指数,0.3052618623898528,0.3644147853772912,0.29043590371908035,0.0,0.4062625450059395,0.32539981419094915,0.23161073534201276,0.294084181233153,0.29204217730155596
韩国综合指数,0.29385594598251535,0.3873436059314493,0.2891990067749815,0.4062625450059395,0.0,0.3090245762155419,0.25271281073773344,0.28600254657408775,0.29689759741758914
荷兰AEX,0.4884427829492247,0.3173316068098755,0.31919099869951817,0.32539981419094915,0.3090245762155419,0.0,0.25050347467927286,0.3810440588159388,0.31164612731760666
Costa Rica Indice Accionario,0.25022861051637124,0.24975350053170425,0.23462587586832065,0.23161073534201276,0.25271281073773344,0.25050347467927286,0.0,0.24059784255956168,0.24089061232064765
加拿大多伦多S&P/TSX 综合指数,0.3594546934109324,0.2800631393927772,0.3453260655049085,0.294084181233153,0.28600254657408775,0.3810440588159388,0.24059784255956168,0.0,0.3456808216107206
S&P CLX IPSA,0.310470925928645,0.2681125799040916,0.3385438221465119,0.29204217730155596,0.29689759741758914,0.31164612731760666,0.24089061232064765,0.3456808216107206,0.0
