,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3365143226174788,0.4176831815125118,0.3748415759980192,0.3395279433765666,0.6076043042376109,0.2543511389046997,0.36527106333810067,0.4278636466351236
日经225,0.3365143226174788,0.0,0.3016167600235926,0.4447504335291613,0.4619607395528043,0.3357431341736549,0.25958718504080874,0.3205577778591706,0.3270292116342322
墨西哥BOLSA,0.4176831815125118,0.3016167600235926,0.0,0.36594257225309484,0.33636250179462873,0.4336137191247073,0.2617243032680382,0.4438985965520429,0.45314821422663154
恒生指数,0.3748415759980192,0.4447504335291613,0.36594257225309484,0.0,0.4635831918249812,0.35972337641719326,0.2596543365152879,0.3354910167605477,0.3527288586528147
韩国综合指数,0.3395279433765666,0.4619607395528043,0.33636250179462873,0.4635831918249812,0.0,0.33575672266313555,0.2603512259219814,0.3124809859419058,0.327486064129614
荷兰AEX,0.6076043042376109,0.3357431341736549,0.4336137191247073,0.35972337641719326,0.33575672266313555,0.0,0.26359668298708183,0.39348694486228325,0.44930523889587476
Costa Rica Indice Accionario,0.2543511389046997,0.25958718504080874,0.2617243032680382,0.2596543365152879,0.2603512259219814,0.26359668298708183,0.0,0.2531612761834607,0.2443363033455195
加拿大多伦多S&P/TSX 综合指数,0.36527106333810067,0.3205577778591706,0.4438985965520429,0.3354910167605477,0.3124809859419058,0.39348694486228325,0.2531612761834607,0.0,0.38407109787809185
S&P CLX IPSA,0.4278636466351236,0.3270292116342322,0.45314821422663154,0.3527288586528147,0.327486064129614,0.44930523889587476,0.2443363033455195,0.38407109787809185,0.0
