,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3026355622246892,0.40625691915123785,0.34597998718638523,0.3333410356376826,0.5551160250039002,0.23877524074056453,0.4209083150191915,0.3734676224748748
日经225,0.3026355622246892,0.0,0.27235244088576305,0.40615679625788403,0.4165966762756508,0.2924735615782807,0.24545355671045732,0.27288269310896385,0.27187035638143814
墨西哥BOLSA,0.40625691915123785,0.27235244088576305,0.0,0.3423848267008692,0.31811611736600015,0.4438104066412596,0.266396929963901,0.4969206821952043,0.44556538454647704
恒生指数,0.34597998718638523,0.40615679625788403,0.3423848267008692,0.0,0.40666574122141047,0.34320907151697194,0.2690427307533264,0.3113626200282836,0.310002425090633
韩国综合指数,0.3333410356376826,0.4165966762756508,0.31811611736600015,0.40666574122141047,0.0,0.3361123061552047,0.2333921958725918,0.29947939760342246,0.30875216084574997
荷兰AEX,0.5551160250039002,0.2924735615782807,0.4438104066412596,0.34320907151697194,0.3361123061552047,0.0,0.25139640523301454,0.439264283247903,0.4197822398428955
Costa Rica Indice Accionario,0.23877524074056453,0.24545355671045732,0.266396929963901,0.2690427307533264,0.2333921958725918,0.25139640523301454,0.0,0.24245231347170748,0.23689538783730021
加拿大多伦多S&P/TSX 综合指数,0.4209083150191915,0.27288269310896385,0.4969206821952043,0.3113626200282836,0.29947939760342246,0.439264283247903,0.24245231347170748,0.0,0.4304584551134614
S&P CLX IPSA,0.3734676224748748,0.27187035638143814,0.44556538454647704,0.310002425090633,0.30875216084574997,0.4197822398428955,0.23689538783730021,0.4304584551134614,0.0
