,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.33246787197018174,0.30942120634175124,0.2901760265030109,0.2930018592021501,0.5789306572787575,0.23984074710344738,0.35314735298137645,0.3067736582024454
日经225,0.33246787197018174,0.0,0.2924342974241047,0.3892293884404057,0.39346310730827727,0.33640191844443684,0.22881772723548846,0.30284523862177193,0.2914193261768363
墨西哥BOLSA,0.30942120634175124,0.2924342974241047,0.0,0.2984442102857021,0.3059715071251454,0.3005791853891548,0.25195453579783583,0.29524465566322505,0.29738425202321417
恒生指数,0.2901760265030109,0.3892293884404057,0.2984442102857021,0.0,0.4063079320389814,0.30011183306855016,0.22813908858539117,0.28005822238144723,0.2920108458680863
韩国综合指数,0.2930018592021501,0.39346310730827727,0.3059715071251454,0.4063079320389814,0.0,0.3035807469507325,0.24420944477736584,0.29568596850367207,0.2879003551023857
荷兰AEX,0.5789306572787575,0.33640191844443684,0.3005791853891548,0.30011183306855016,0.3035807469507325,0.0,0.24481606920197085,0.3752139120027354,0.3101490762667004
Costa Rica Indice Accionario,0.23984074710344738,0.22881772723548846,0.25195453579783583,0.22813908858539117,0.24420944477736584,0.24481606920197085,0.0,0.23993075308127954,0.24232027952844487
加拿大多伦多S&P/TSX 综合指数,0.35314735298137645,0.30284523862177193,0.29524465566322505,0.28005822238144723,0.29568596850367207,0.3752139120027354,0.23993075308127954,0.0,0.3043458099737386
S&P CLX IPSA,0.3067736582024454,0.2914193261768363,0.29738425202321417,0.2920108458680863,0.2879003551023857,0.3101490762667004,0.24232027952844487,0.3043458099737386,0.0
