,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.30201166812330066,0.41313826063780484,0.3284567159514429,0.31014796894092994,0.7035946160406754,0.2597596103633376,0.43543075706863765,0.4130305340221356
日经225,0.30201166812330066,0.0,0.27629115546437183,0.4592135440096016,0.4746823824421442,0.3037282027817355,0.2443642563449118,0.2914863993165258,0.3125512556118316
墨西哥BOLSA,0.41313826063780484,0.27629115546437183,0.0,0.28073620624611106,0.2986868618488065,0.4337743873309803,0.24389608559931422,0.4735407301633608,0.4290750156223098
恒生指数,0.3284567159514429,0.4592135440096016,0.28073620624611106,0.0,0.45141937822186384,0.3309248382430176,0.25499744598744256,0.3022144608890448,0.32266848809450355
韩国综合指数,0.31014796894092994,0.4746823824421442,0.2986868618488065,0.45141937822186384,0.0,0.3213352115413893,0.2544087195523677,0.29615612096001476,0.32136092447995485
荷兰AEX,0.7035946160406754,0.3037282027817355,0.4337743873309803,0.3309248382430176,0.3213352115413893,0.0,0.2586367842167581,0.45115089587182844,0.42599257891395215
Costa Rica Indice Accionario,0.2597596103633376,0.2443642563449118,0.24389608559931422,0.25499744598744256,0.2544087195523677,0.2586367842167581,0.0,0.2517955870936017,0.24727479526993315
加拿大多伦多S&P/TSX 综合指数,0.43543075706863765,0.2914863993165258,0.4735407301633608,0.3022144608890448,0.29615612096001476,0.45115089587182844,0.2517955870936017,0.0,0.4777142232752553
S&P CLX IPSA,0.4130305340221356,0.3125512556118316,0.4290750156223098,0.32266848809450355,0.32136092447995485,0.42599257891395215,0.24727479526993315,0.4777142232752553,0.0
