,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.25783504604728563,0.3134733783676795,0.26379247126952976,0.2637451135651573,0.5470800734075218,0.25012337849720784,0.33410699238120073,0.318863512463074
日经225,0.25783504604728563,0.0,0.23842435260788278,0.32087941463705394,0.3678730775009937,0.2735704774449923,0.2468201123060771,0.27064319567656375,0.2493832128155155
墨西哥BOLSA,0.3134733783676795,0.23842435260788278,0.0,0.2621097215872555,0.2523264694129159,0.32308315086857275,0.24541960882857697,0.3234464624632489,0.3355173209959015
恒生指数,0.26379247126952976,0.32087941463705394,0.2621097215872555,0.0,0.38059671933986605,0.28219225195569,0.24487894533898172,0.2608765895397148,0.29168860535409924
韩国综合指数,0.2637451135651573,0.3678730775009937,0.2523264694129159,0.38059671933986605,0.0,0.2792570111834799,0.23986538660003506,0.2524633443923595,0.2558264225026245
荷兰AEX,0.5470800734075218,0.2735704774449923,0.32308315086857275,0.28219225195569,0.2792570111834799,0.0,0.24661209726884387,0.3676777062174664,0.3330543404540076
Costa Rica Indice Accionario,0.25012337849720784,0.2468201123060771,0.24541960882857697,0.24487894533898172,0.23986538660003506,0.24661209726884387,0.0,0.2369693314729597,0.23998579782943072
加拿大多伦多S&P/TSX 综合指数,0.33410699238120073,0.27064319567656375,0.3234464624632489,0.2608765895397148,0.2524633443923595,0.3676777062174664,0.2369693314729597,0.0,0.3331712849073078
S&P CLX IPSA,0.318863512463074,0.2493832128155155,0.3355173209959015,0.29168860535409924,0.2558264225026245,0.3330543404540076,0.23998579782943072,0.3331712849073078,0.0
