,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3469943994580241,0.41610217833914964,0.3841120808689444,0.3540626566938817,0.6038102533900324,0.23818714566453905,0.4580122989744211,0.369043749244727
日经225,0.3469943994580241,0.0,0.31690861265742015,0.39101924403665805,0.4257465207248102,0.3600998921004375,0.23146434659744883,0.32538339077206063,0.29808511850519803
墨西哥BOLSA,0.41610217833914964,0.31690861265742015,0.0,0.3324479018440114,0.33351797635241087,0.4272231626935571,0.24253798056264475,0.4500114927187262,0.3517231215361574
恒生指数,0.3841120808689444,0.39101924403665805,0.3324479018440114,0.0,0.5008616637423198,0.3949169785356568,0.23652140557811058,0.3560522639984074,0.3544202791092354
韩国综合指数,0.3540626566938817,0.4257465207248102,0.33351797635241087,0.5008616637423198,0.0,0.36752256027497704,0.227874263827895,0.3354580169909779,0.3220912843014739
荷兰AEX,0.6038102533900324,0.3600998921004375,0.4272231626935571,0.3949169785356568,0.36752256027497704,0.0,0.2411601515470294,0.49700133532674046,0.3870526234931856
Costa Rica Indice Accionario,0.23818714566453905,0.23146434659744883,0.24253798056264475,0.23652140557811058,0.227874263827895,0.2411601515470294,0.0,0.2386329332240944,0.2300258554138914
加拿大多伦多S&P/TSX 综合指数,0.4580122989744211,0.32538339077206063,0.4500114927187262,0.3560522639984074,0.3354580169909779,0.49700133532674046,0.2386329332240944,0.0,0.42151308592575865
S&P CLX IPSA,0.369043749244727,0.29808511850519803,0.3517231215361574,0.3544202791092354,0.3220912843014739,0.3870526234931856,0.2300258554138914,0.42151308592575865,0.0
