,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.28335174788395034,0.3430140957884111,0.3208600930167885,0.3030964905858933,0.5778502791804918,0.23847187732504285,0.3806719362681931,0.34485140297655315
日经225,0.28335174788395034,0.0,0.2929426226050662,0.35264730848079134,0.3693790187115876,0.3039695562988001,0.24501353127724082,0.27390172923143435,0.26057595536501055
墨西哥BOLSA,0.3430140957884111,0.2929426226050662,0.0,0.3217326342098635,0.3192368917944177,0.3481013637021444,0.2471198497939741,0.34597994798837184,0.3390123312820717
恒生指数,0.3208600930167885,0.35264730848079134,0.3217326342098635,0.0,0.4246692128558114,0.34736489475305105,0.24971984514479065,0.30083412449177915,0.32593659075788445
韩国综合指数,0.3030964905858933,0.3693790187115876,0.3192368917944177,0.4246692128558114,0.0,0.3163377428531577,0.2538092942574424,0.3063242889694088,0.32375382929648994
荷兰AEX,0.5778502791804918,0.3039695562988001,0.3481013637021444,0.34736489475305105,0.3163377428531577,0.0,0.24203829416452352,0.37673610501408117,0.33547046812119613
Costa Rica Indice Accionario,0.23847187732504285,0.24501353127724082,0.2471198497939741,0.24971984514479065,0.2538092942574424,0.24203829416452352,0.0,0.2405305295092473,0.25032739435709994
加拿大多伦多S&P/TSX 综合指数,0.3806719362681931,0.27390172923143435,0.34597994798837184,0.30083412449177915,0.3063242889694088,0.37673610501408117,0.2405305295092473,0.0,0.33285236411152797
S&P CLX IPSA,0.34485140297655315,0.26057595536501055,0.3390123312820717,0.32593659075788445,0.32375382929648994,0.33547046812119613,0.25032739435709994,0.33285236411152797,0.0
