,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3167373473269433,0.39917193319787175,0.34040992604807224,0.3346129373534383,0.5618210713426284,0.25257598777190476,0.40474843828008217,0.361614198773889
日经225,0.3167373473269433,0.0,0.27027999350582016,0.41731913067222437,0.4333572607179961,0.29767409245192583,0.2606641089761676,0.26824662815869943,0.2624899409208927
墨西哥BOLSA,0.39917193319787175,0.27027999350582016,0.0,0.34766440259760956,0.317616088145171,0.44097968118511305,0.28242984341851407,0.48755463378873753,0.4285373376807699
恒生指数,0.34040992604807224,0.41731913067222437,0.34766440259760956,0.0,0.4313212635426278,0.33565573301254786,0.2806790114306254,0.3100779882632391,0.2991511176724421
韩国综合指数,0.3346129373534383,0.4333572607179961,0.317616088145171,0.4313212635426278,0.0,0.33690173126824535,0.2574841241613015,0.2981673073940129,0.29321658493962494
荷兰AEX,0.5618210713426284,0.29767409245192583,0.44097968118511305,0.33565573301254786,0.33690173126824535,0.0,0.2704958917966324,0.4217597995451031,0.40869130345104987
Costa Rica Indice Accionario,0.25257598777190476,0.2606641089761676,0.28242984341851407,0.2806790114306254,0.2574841241613015,0.2704958917966324,0.0,0.2549143288838502,0.24093848400215395
加拿大多伦多S&P/TSX 综合指数,0.40474843828008217,0.26824662815869943,0.48755463378873753,0.3100779882632391,0.2981673073940129,0.4217597995451031,0.2549143288838502,0.0,0.4189113335523962
S&P CLX IPSA,0.361614198773889,0.2624899409208927,0.4285373376807699,0.2991511176724421,0.29321658493962494,0.40869130345104987,0.24093848400215395,0.4189113335523962,0.0
