,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.2702177156028359,0.3492372033835523,0.29674211866612293,0.2521550170242577,0.6729560359483899,0.25743511629623983,0.34062478649889694,0.32470592878241294
日经225,0.2702177156028359,0.0,0.27424067035435656,0.30172973543624293,0.3546532880682276,0.26812637475997897,0.2754945467663559,0.24798792956403534,0.27288359327151035
墨西哥BOLSA,0.3492372033835523,0.27424067035435656,0.0,0.28377499968018266,0.24869343457307552,0.37026947175572517,0.23589287141946047,0.35793272990000663,0.37268706241905264
恒生指数,0.29674211866612293,0.30172973543624293,0.28377499968018266,0.0,0.3081123899167861,0.29522555984989857,0.2603663021769483,0.2578315517222494,0.31134903828987726
韩国综合指数,0.2521550170242577,0.3546532880682276,0.24869343457307552,0.3081123899167861,0.0,0.24944501863087928,0.26791111161782805,0.2507894617691436,0.2693488384246904
荷兰AEX,0.6729560359483899,0.26812637475997897,0.37026947175572517,0.29522555984989857,0.24944501863087928,0.0,0.24909215791209188,0.3631781976406645,0.3351009238156956
Costa Rica Indice Accionario,0.25743511629623983,0.2754945467663559,0.23589287141946047,0.2603663021769483,0.26791111161782805,0.24909215791209188,0.0,0.24326593984455305,0.22995814480242416
加拿大多伦多S&P/TSX 综合指数,0.34062478649889694,0.24798792956403534,0.35793272990000663,0.2578315517222494,0.2507894617691436,0.3631781976406645,0.24326593984455305,0.0,0.31937533355019854
S&P CLX IPSA,0.32470592878241294,0.27288359327151035,0.37268706241905264,0.31134903828987726,0.2693488384246904,0.3351009238156956,0.22995814480242416,0.31937533355019854,0.0
