,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.33815031006728985,0.307091496667094,0.30519556565151323,0.33041423450626467,0.5018217922935408,0.2540480489977356,0.28953130078600703,0.2940801112248929
日经225,0.33815031006728985,0.0,0.2843816550050281,0.3784409258385691,0.3996616504611046,0.33690943374022186,0.25835896616880544,0.2666991300959331,0.25832840006867513
墨西哥BOLSA,0.307091496667094,0.2843816550050281,0.0,0.2922822050106971,0.3068789071803013,0.3233928944337642,0.2380608991360086,0.36966419053907124,0.29977509220496795
恒生指数,0.30519556565151323,0.3784409258385691,0.2922822050106971,0.0,0.3757113057388948,0.30566019718361953,0.23944010417065884,0.2844058001379831,0.2737628707350483
韩国综合指数,0.33041423450626467,0.3996616504611046,0.3068789071803013,0.3757113057388948,0.0,0.31760677684263267,0.25476837505363586,0.2873152737747973,0.2806078209247157
荷兰AEX,0.5018217922935408,0.33690943374022186,0.3233928944337642,0.30566019718361953,0.31760677684263267,0.0,0.25291806367822695,0.30017829785335365,0.2956995494003863
Costa Rica Indice Accionario,0.2540480489977356,0.25835896616880544,0.2380608991360086,0.23944010417065884,0.25476837505363586,0.25291806367822695,0.0,0.23793933544664067,0.2523980709998715
加拿大多伦多S&P/TSX 综合指数,0.28953130078600703,0.2666991300959331,0.36966419053907124,0.2844058001379831,0.2873152737747973,0.30017829785335365,0.23793933544664067,0.0,0.30525447799000993
S&P CLX IPSA,0.2940801112248929,0.25832840006867513,0.29977509220496795,0.2737628707350483,0.2806078209247157,0.2956995494003863,0.2523980709998715,0.30525447799000993,0.0
