,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.33177466562393504,0.3056800146807998,0.2960639222896484,0.30553787633590934,0.49144089806621005,0.2667509444559848,0.29515854016304033,0.2830717116465604
日经225,0.33177466562393504,0.0,0.28202524920409894,0.35608636253310366,0.3880453997331334,0.33449357806722496,0.253898063893721,0.2746664092344175,0.25342158282009813
墨西哥BOLSA,0.3056800146807998,0.28202524920409894,0.0,0.28885217529423596,0.30836467007388735,0.31637263065323473,0.24973600417947905,0.35638282182123676,0.28187925594502133
恒生指数,0.2960639222896484,0.35608636253310366,0.28885217529423596,0.0,0.3487336196310776,0.29018769288110857,0.24453126582060958,0.28243506707524174,0.2665417666820305
韩国综合指数,0.30553787633590934,0.3880453997331334,0.30836467007388735,0.3487336196310776,0.0,0.29765032099634264,0.25120969389353875,0.29006257130384533,0.27373016820072243
荷兰AEX,0.49144089806621005,0.33449357806722496,0.31637263065323473,0.29018769288110857,0.29765032099634264,0.0,0.26346488735596324,0.30144069345125224,0.2805462154183631
Costa Rica Indice Accionario,0.2667509444559848,0.253898063893721,0.24973600417947905,0.24453126582060958,0.25120969389353875,0.26346488735596324,0.0,0.24139428106177646,0.24834874944993246
加拿大多伦多S&P/TSX 综合指数,0.29515854016304033,0.2746664092344175,0.35638282182123676,0.28243506707524174,0.29006257130384533,0.30144069345125224,0.24139428106177646,0.0,0.28213819425063996
S&P CLX IPSA,0.2830717116465604,0.25342158282009813,0.28187925594502133,0.2665417666820305,0.27373016820072243,0.2805462154183631,0.24834874944993246,0.28213819425063996,0.0
