,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.34494852674522397,0.41421499409240353,0.38823320464600913,0.35325079414867055,0.5974952267047752,0.23785263508901291,0.4507044061820645,0.3639358873109609
日经225,0.34494852674522397,0.0,0.3150692031184634,0.38365304340793804,0.4230917304701074,0.3576749173776933,0.23142837461989033,0.3238469039913799,0.2973639780734419
墨西哥BOLSA,0.41421499409240353,0.3150692031184634,0.0,0.3277752712195185,0.33071318748544287,0.42547855787704875,0.24359476208521447,0.45257536455515657,0.3523365366753186
恒生指数,0.38823320464600913,0.38365304340793804,0.3277752712195185,0.0,0.4937104458188358,0.39952797186626116,0.23602771124856756,0.3543395095782246,0.3566818480242592
韩国综合指数,0.35325079414867055,0.4230917304701074,0.33071318748544287,0.4937104458188358,0.0,0.36453285769656074,0.2285455911966546,0.332160549269337,0.3234656056978716
荷兰AEX,0.5974952267047752,0.3576749173776933,0.42547855787704875,0.39952797186626116,0.36453285769656074,0.0,0.24105399949009584,0.49232325728561277,0.3804110939534842
Costa Rica Indice Accionario,0.23785263508901291,0.23142837461989033,0.24359476208521447,0.23602771124856756,0.2285455911966546,0.24105399949009584,0.0,0.238362355527252,0.22883510628886983
加拿大多伦多S&P/TSX 综合指数,0.4507044061820645,0.3238469039913799,0.45257536455515657,0.3543395095782246,0.332160549269337,0.49232325728561277,0.238362355527252,0.0,0.4238474155600547
S&P CLX IPSA,0.3639358873109609,0.2973639780734419,0.3523365366753186,0.3566818480242592,0.3234656056978716,0.3804110939534842,0.22883510628886983,0.4238474155600547,0.0
