,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.31649647001778536,0.3352932476601052,0.3380371225212277,0.32224753814705953,0.5641674868954892,0.259022046424364,0.40655325486333327,0.3059536719306552
日经225,0.31649647001778536,0.0,0.2696357963480454,0.3686355896295513,0.3961599435660619,0.3080493525166251,0.23317937827090632,0.27116677949790313,0.25346080995912007
墨西哥BOLSA,0.3352932476601052,0.2696357963480454,0.0,0.2810030161480427,0.271871491232771,0.3282591431685907,0.23394420414057274,0.32627033992834265,0.31196722760747797
恒生指数,0.3380371225212277,0.3686355896295513,0.2810030161480427,0.0,0.4046069812263865,0.3280411370903959,0.24360933158056883,0.27576654891853014,0.2721207863374039
韩国综合指数,0.32224753814705953,0.3961599435660619,0.271871491232771,0.4046069812263865,0.0,0.32297817720795025,0.24040930326928556,0.27659685370867143,0.28610831803933057
荷兰AEX,0.5641674868954892,0.3080493525166251,0.3282591431685907,0.3280411370903959,0.32297817720795025,0.0,0.25563096189155504,0.42669674797916096,0.300474352634317
Costa Rica Indice Accionario,0.259022046424364,0.23317937827090632,0.23394420414057274,0.24360933158056883,0.24040930326928556,0.25563096189155504,0.0,0.25098552036654187,0.25640055970620845
加拿大多伦多S&P/TSX 综合指数,0.40655325486333327,0.27116677949790313,0.32627033992834265,0.27576654891853014,0.27659685370867143,0.42669674797916096,0.25098552036654187,0.0,0.2724671094738084
S&P CLX IPSA,0.3059536719306552,0.25346080995912007,0.31196722760747797,0.2721207863374039,0.28610831803933057,0.300474352634317,0.25640055970620845,0.2724671094738084,0.0
