,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3345218858532309,0.2993104912662925,0.30000679331263386,0.28654738467818,0.6146979713269376,0.23220784853424947,0.3343392348315397,0.29753426386830806
日经225,0.3345218858532309,0.0,0.27894981024471477,0.3618962751243756,0.3309670564688685,0.3323828162894266,0.23310873233815618,0.29926068018226104,0.28749933347839046
墨西哥BOLSA,0.2993104912662925,0.27894981024471477,0.0,0.30790295499163894,0.28573387382974597,0.29906111974868443,0.2514972375407174,0.30828919664706955,0.2975237395526149
恒生指数,0.30000679331263386,0.3618962751243756,0.30790295499163894,0.0,0.39760738569360243,0.3229759940443735,0.23825935014244823,0.2900041707802768,0.29604207057662146
韩国综合指数,0.28654738467818,0.3309670564688685,0.28573387382974597,0.39760738569360243,0.0,0.3029406614850001,0.2464385919942119,0.2923242361205815,0.28469890424376737
荷兰AEX,0.6146979713269376,0.3323828162894266,0.29906111974868443,0.3229759940443735,0.3029406614850001,0.0,0.23928124995563654,0.36757248521940655,0.3029174604676583
Costa Rica Indice Accionario,0.23220784853424947,0.23310873233815618,0.2514972375407174,0.23825935014244823,0.2464385919942119,0.23928124995563654,0.0,0.24041813769559695,0.2442081536777925
加拿大多伦多S&P/TSX 综合指数,0.3343392348315397,0.29926068018226104,0.30828919664706955,0.2900041707802768,0.2923242361205815,0.36757248521940655,0.24041813769559695,0.0,0.30232183285380637
S&P CLX IPSA,0.29753426386830806,0.28749933347839046,0.2975237395526149,0.29604207057662146,0.28469890424376737,0.3029174604676583,0.2442081536777925,0.30232183285380637,0.0
