,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3239904961590786,0.39248910044998286,0.3503002185280152,0.35251616638812927,0.6561044603623097,0.21201037360508734,0.38884414214538343,0.36575974784133647
日经225,0.3239904961590786,0.0,0.2546877826165584,0.4389148524654022,0.4664027420246576,0.3243043490226742,0.22387903495827965,0.2650539195702072,0.27026055707683816
墨西哥BOLSA,0.39248910044998286,0.2546877826165584,0.0,0.2950088371386175,0.284806589420172,0.38668033881700614,0.23440573932162126,0.48791902406155874,0.4113558908825744
恒生指数,0.3503002185280152,0.4389148524654022,0.2950088371386175,0.0,0.4533404700570084,0.3597060960444747,0.22394628825535576,0.2942933283947465,0.3019859639622033
韩国综合指数,0.35251616638812927,0.4664027420246576,0.284806589420172,0.4533404700570084,0.0,0.36405682659251565,0.22731741171232467,0.29276988310514296,0.2994512084536167
荷兰AEX,0.6561044603623097,0.3243043490226742,0.38668033881700614,0.3597060960444747,0.36405682659251565,0.0,0.21908937088367902,0.39246241387307174,0.354987535436567
Costa Rica Indice Accionario,0.21201037360508734,0.22387903495827965,0.23440573932162126,0.22394628825535576,0.22731741171232467,0.21908937088367902,0.0,0.23128337972992286,0.22520726336953106
加拿大多伦多S&P/TSX 综合指数,0.38884414214538343,0.2650539195702072,0.48791902406155874,0.2942933283947465,0.29276988310514296,0.39246241387307174,0.23128337972992286,0.0,0.3731231127322396
S&P CLX IPSA,0.36575974784133647,0.27026055707683816,0.4113558908825744,0.3019859639622033,0.2994512084536167,0.354987535436567,0.22520726336953106,0.3731231127322396,0.0
