,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3080837459839038,0.3378505954941939,0.3443801539744868,0.32439529522467647,0.5720682251735394,0.25747932468826273,0.4075131213175893,0.34226564565926776
日经225,0.3080837459839038,0.0,0.2701741934265258,0.3594204539983577,0.39124602561614347,0.2996107268207516,0.23268000594832816,0.27120394255040703,0.26264383653642226
墨西哥BOLSA,0.3378505954941939,0.2701741934265258,0.0,0.2731946595712145,0.26809532799637587,0.3339332653705253,0.2392768649367527,0.34089252439778667,0.3606798912582105
恒生指数,0.3443801539744868,0.3594204539983577,0.2731946595712145,0.0,0.41935009972686355,0.34295306093095057,0.24380840505661563,0.2848899293723002,0.29004166117916463
韩国综合指数,0.32439529522467647,0.39124602561614347,0.26809532799637587,0.41935009972686355,0.0,0.3253190719432873,0.24560534491350006,0.2844988901017048,0.2960177247236416
荷兰AEX,0.5720682251735394,0.2996107268207516,0.3339332653705253,0.34295306093095057,0.3253190719432873,0.0,0.25697099235416176,0.4306595805054006,0.33861341952911894
Costa Rica Indice Accionario,0.25747932468826273,0.23268000594832816,0.2392768649367527,0.24380840505661563,0.24560534491350006,0.25697099235416176,0.0,0.2606277649351332,0.2720780934070353
加拿大多伦多S&P/TSX 综合指数,0.4075131213175893,0.27120394255040703,0.34089252439778667,0.2848899293723002,0.2844988901017048,0.4306595805054006,0.2606277649351332,0.0,0.3175424404360454
S&P CLX IPSA,0.34226564565926776,0.26264383653642226,0.3606798912582105,0.29004166117916463,0.2960177247236416,0.33861341952911894,0.2720780934070353,0.3175424404360454,0.0
