,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.28607476119139624,0.3007282549460474,0.3004387811669419,0.27296721107123767,0.4754571074079679,0.25657440294189865,0.36211898069319315,0.27910630990847946
日经225,0.28607476119139624,0.0,0.26696378216265465,0.32346455143431696,0.3892067475745591,0.29874203121416854,0.24916305299724745,0.27050634696886877,0.26400625111768294
墨西哥BOLSA,0.3007282549460474,0.26696378216265465,0.0,0.2699140181832423,0.2815638308065648,0.30282904283538453,0.23942996166353817,0.3102992388380032,0.27527689925479754
恒生指数,0.3004387811669419,0.32346455143431696,0.2699140181832423,0.0,0.3541766917996045,0.32647924350294927,0.25285577551618055,0.2862060669739647,0.2649450983870653
韩国综合指数,0.27296721107123767,0.3892067475745591,0.2815638308065648,0.3541766917996045,0.0,0.28841546517282973,0.2422256466701053,0.2623689844794187,0.26834044621790004
荷兰AEX,0.4754571074079679,0.29874203121416854,0.30282904283538453,0.32647924350294927,0.28841546517282973,0.0,0.2599952995990013,0.39736159638138274,0.28632952807283163
Costa Rica Indice Accionario,0.25657440294189865,0.24916305299724745,0.23942996166353817,0.25285577551618055,0.2422256466701053,0.2599952995990013,0.0,0.2533225327135069,0.2608695253555723
加拿大多伦多S&P/TSX 综合指数,0.36211898069319315,0.27050634696886877,0.3102992388380032,0.2862060669739647,0.2623689844794187,0.39736159638138274,0.2533225327135069,0.0,0.2707058605738048
S&P CLX IPSA,0.27910630990847946,0.26400625111768294,0.27527689925479754,0.2649450983870653,0.26834044621790004,0.28632952807283163,0.2608695253555723,0.2707058605738048,0.0
