,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.33290709493486437,0.35459151781432774,0.3387397797825217,0.32198539691844896,0.5772399239605263,0.22263369636251934,0.34347883774583404,0.323852214060665
日经225,0.33290709493486437,0.0,0.26384835018355396,0.401487446641762,0.40970135138371067,0.3422008630842947,0.24776392036369269,0.28121658893151913,0.26840647686995817
墨西哥BOLSA,0.35459151781432774,0.26384835018355396,0.0,0.2905859395750973,0.28133385330946303,0.340825618881508,0.24232449454015798,0.4190502664871841,0.38311963754692957
恒生指数,0.3387397797825217,0.401487446641762,0.2905859395750973,0.0,0.4013813869813042,0.33757033522844954,0.23886577017783137,0.2860307560528535,0.281910451629552
韩国综合指数,0.32198539691844896,0.40970135138371067,0.28133385330946303,0.4013813869813042,0.0,0.32445211856767175,0.26417438684827954,0.29953198515214136,0.2727221031043482
荷兰AEX,0.5772399239605263,0.3422008630842947,0.340825618881508,0.33757033522844954,0.32445211856767175,0.0,0.23504127966769525,0.3412671609471931,0.3129261020882336
Costa Rica Indice Accionario,0.22263369636251934,0.24776392036369269,0.24232449454015798,0.23886577017783137,0.26417438684827954,0.23504127966769525,0.0,0.24709513396631239,0.23970366410263416
加拿大多伦多S&P/TSX 综合指数,0.34347883774583404,0.28121658893151913,0.4190502664871841,0.2860307560528535,0.29953198515214136,0.3412671609471931,0.24709513396631239,0.0,0.32386042983669266
S&P CLX IPSA,0.323852214060665,0.26840647686995817,0.38311963754692957,0.281910451629552,0.2727221031043482,0.3129261020882336,0.23970366410263416,0.32386042983669266,0.0
