,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.31084765386339763,0.3653614028814896,0.32255207821457427,0.33799346632819,0.666919708393023,0.24565420137484661,0.3956779911097987,0.3261078164451397
日经225,0.31084765386339763,0.0,0.26759942953420385,0.3674283178364989,0.40735231940227756,0.32127650650525696,0.24620497126034346,0.2881168794829266,0.2691139586785116
墨西哥BOLSA,0.3653614028814896,0.26759942953420385,0.0,0.29185579887608243,0.2928529915695544,0.37164631447098834,0.2547370909795151,0.3594945499946965,0.34435774559656135
恒生指数,0.32255207821457427,0.3674283178364989,0.29185579887608243,0.0,0.4510948772233322,0.3365657242539425,0.25973581750008584,0.2938902768003357,0.3100177481187573
韩国综合指数,0.33799346632819,0.40735231940227756,0.2928529915695544,0.4510948772233322,0.0,0.35511193743932995,0.2557568085234057,0.28460001850117017,0.2880931655597336
荷兰AEX,0.666919708393023,0.32127650650525696,0.37164631447098834,0.3365657242539425,0.35511193743932995,0.0,0.2557142187162075,0.4055780465320961,0.3407821817473873
Costa Rica Indice Accionario,0.24565420137484661,0.24620497126034346,0.2547370909795151,0.25973581750008584,0.2557568085234057,0.2557142187162075,0.0,0.24706634997343938,0.2357991570180606
加拿大多伦多S&P/TSX 综合指数,0.3956779911097987,0.2881168794829266,0.3594945499946965,0.2938902768003357,0.28460001850117017,0.4055780465320961,0.24706634997343938,0.0,0.3398648429755604
S&P CLX IPSA,0.3261078164451397,0.2691139586785116,0.34435774559656135,0.3100177481187573,0.2880931655597336,0.3407821817473873,0.2357991570180606,0.3398648429755604,0.0
