,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3085293943644725,0.30185248414009463,0.2874506692663902,0.2846374854100107,0.5625278065896454,0.24171593421871068,0.3064997685191299,0.28545632418512285
日经225,0.3085293943644725,0.0,0.2759027831907259,0.3097873283908631,0.3074189854165417,0.30378832600863453,0.2367893519343322,0.29934142936192404,0.2861036142177353
墨西哥BOLSA,0.30185248414009463,0.2759027831907259,0.0,0.2927893438364908,0.2764160248535812,0.2997016899391314,0.2520678072535931,0.31666981824783763,0.2970163799426184
恒生指数,0.2874506692663902,0.3097873283908631,0.2927893438364908,0.0,0.354547294892606,0.3015634371766964,0.23539017688350744,0.27679436759956605,0.2937407972225939
韩国综合指数,0.2846374854100107,0.3074189854165417,0.2764160248535812,0.354547294892606,0.0,0.2961568461284845,0.24574800267802596,0.26203115067109434,0.2768374950227115
荷兰AEX,0.5625278065896454,0.30378832600863453,0.2997016899391314,0.3015634371766964,0.2961568461284845,0.0,0.2442937519720213,0.3399708405119474,0.292929381106277
Costa Rica Indice Accionario,0.24171593421871068,0.2367893519343322,0.2520678072535931,0.23539017688350744,0.24574800267802596,0.2442937519720213,0.0,0.2420455248224204,0.24607616873630428
加拿大多伦多S&P/TSX 综合指数,0.3064997685191299,0.29934142936192404,0.31666981824783763,0.27679436759956605,0.26203115067109434,0.3399708405119474,0.2420455248224204,0.0,0.2909581471381173
S&P CLX IPSA,0.28545632418512285,0.2861036142177353,0.2970163799426184,0.2937407972225939,0.2768374950227115,0.292929381106277,0.24607616873630428,0.2909581471381173,0.0
