,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.27191878329756614,0.3264197087458504,0.2910712849316394,0.27027078390342957,0.5162814016097014,0.2567959808296375,0.3761573481403814,0.28512306067102916
日经225,0.27191878329756614,0.0,0.2875540257045201,0.3152024951734926,0.3959839870816544,0.30343057755025143,0.24984389459488454,0.2906032518139056,0.27409882644397837
墨西哥BOLSA,0.3264197087458504,0.2875540257045201,0.0,0.273073191421207,0.30544278716637147,0.3219767369565112,0.24137166512038372,0.34967204409429825,0.27756433307368683
恒生指数,0.2910712849316394,0.3152024951734926,0.273073191421207,0.0,0.35184011047939184,0.3318192084861934,0.2507001522042176,0.29946826248596475,0.27647257707619405
韩国综合指数,0.27027078390342957,0.3959839870816544,0.30544278716637147,0.35184011047939184,0.0,0.2964062026685096,0.24157415181067463,0.29481424680205986,0.2694591815940046
荷兰AEX,0.5162814016097014,0.30343057755025143,0.3219767369565112,0.3318192084861934,0.2964062026685096,0.0,0.2569512423894913,0.39481281017932146,0.2881000927855144
Costa Rica Indice Accionario,0.2567959808296375,0.24984389459488454,0.24137166512038372,0.2507001522042176,0.24157415181067463,0.2569512423894913,0.0,0.2537652321477458,0.2571048944949178
加拿大多伦多S&P/TSX 综合指数,0.3761573481403814,0.2906032518139056,0.34967204409429825,0.29946826248596475,0.29481424680205986,0.39481281017932146,0.2537652321477458,0.0,0.27233539209554947
S&P CLX IPSA,0.28512306067102916,0.27409882644397837,0.27756433307368683,0.27647257707619405,0.2694591815940046,0.2881000927855144,0.2571048944949178,0.27233539209554947,0.0
