,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.29167052405251115,0.30675051616045296,0.2942086592580859,0.27797258407019554,0.46879560801023223,0.2646288357879662,0.3597633121718308,0.293986988228538
日经225,0.29167052405251115,0.0,0.2675762989396067,0.3259888224410491,0.39522630570888617,0.30097423489259956,0.2512297513269799,0.27178813511168937,0.2651471850210958
墨西哥BOLSA,0.30675051616045296,0.2675762989396067,0.0,0.27074904232963937,0.2822924042251891,0.30220130521839017,0.23183045109737194,0.31187971917119545,0.2877021482092993
恒生指数,0.2942086592580859,0.3259888224410491,0.27074904232963937,0.0,0.35697977527782426,0.3222007406477195,0.23611001954754562,0.28543534265860626,0.2698540161322018
韩国综合指数,0.27797258407019554,0.39522630570888617,0.2822924042251891,0.35697977527782426,0.0,0.29259059112183555,0.2525555146774668,0.26527818110435947,0.25929474920302736
荷兰AEX,0.46879560801023223,0.30097423489259956,0.30220130521839017,0.3222007406477195,0.29259059112183555,0.0,0.25949144245568084,0.39328994258733735,0.3007378225479718
Costa Rica Indice Accionario,0.2646288357879662,0.2512297513269799,0.23183045109737194,0.23611001954754562,0.2525555146774668,0.25949144245568084,0.0,0.24497970543164688,0.2506722974509987
加拿大多伦多S&P/TSX 综合指数,0.3597633121718308,0.27178813511168937,0.31187971917119545,0.28543534265860626,0.26527818110435947,0.39328994258733735,0.24497970543164688,0.0,0.28553323998647495
S&P CLX IPSA,0.293986988228538,0.2651471850210958,0.2877021482092993,0.2698540161322018,0.25929474920302736,0.3007378225479718,0.2506722974509987,0.28553323998647495,0.0
