,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3150315382592741,0.38845160876064316,0.3370060765217397,0.3063173987853254,0.6063644315449409,0.23519332048523844,0.34190643849334035,0.3562350078645418
日经225,0.3150315382592741,0.0,0.28839971700348116,0.42215096959340637,0.43694178770825315,0.3099182711465083,0.22873810121826393,0.2843375077582448,0.2827414934371895
墨西哥BOLSA,0.38845160876064316,0.28839971700348116,0.0,0.3020687216142822,0.27641467621401106,0.36294621330866417,0.24452278926558077,0.3904916530010733,0.36386429167569084
恒生指数,0.3370060765217397,0.42215096959340637,0.3020687216142822,0.0,0.45266035258626985,0.3247890038013564,0.23974616905425566,0.2906987324476969,0.3199069910012374
韩国综合指数,0.3063173987853254,0.43694178770825315,0.27641467621401106,0.45266035258626985,0.0,0.3022496098017654,0.2326837362028652,0.28840981060513515,0.2875949523034276
荷兰AEX,0.6063644315449409,0.3099182711465083,0.36294621330866417,0.3247890038013564,0.3022496098017654,0.0,0.23402196520802232,0.3476242281166657,0.36096201834100217
Costa Rica Indice Accionario,0.23519332048523844,0.22873810121826393,0.24452278926558077,0.23974616905425566,0.2326837362028652,0.23402196520802232,0.0,0.2338925075884024,0.2412566064582127
加拿大多伦多S&P/TSX 综合指数,0.34190643849334035,0.2843375077582448,0.3904916530010733,0.2906987324476969,0.28840981060513515,0.3476242281166657,0.2338925075884024,0.0,0.3596937500250519
S&P CLX IPSA,0.3562350078645418,0.2827414934371895,0.36386429167569084,0.3199069910012374,0.2875949523034276,0.36096201834100217,0.2412566064582127,0.3596937500250519,0.0
