,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.30083056793267443,0.41678907252378705,0.3270016948448493,0.30953481940724037,0.7012731405621663,0.26484878022043756,0.4414538455256156,0.4189548737833221
日经225,0.30083056793267443,0.0,0.27345019059942477,0.4595485123478795,0.4682679917670075,0.30362399565421205,0.2456231266563769,0.29041247740508214,0.3130049596911323
墨西哥BOLSA,0.41678907252378705,0.27345019059942477,0.0,0.2818348712956653,0.296945686510448,0.4372448657939906,0.24322996458750676,0.47360369304873773,0.43266960642429025
恒生指数,0.3270016948448493,0.4595485123478795,0.2818348712956653,0.0,0.4507682879000792,0.32957674599980985,0.25959367186075927,0.3033555055893892,0.3237390936746461
韩国综合指数,0.30953481940724037,0.4682679917670075,0.296945686510448,0.4507682879000792,0.0,0.3206662730248523,0.25964650165812597,0.2962067714806446,0.3236230588878383
荷兰AEX,0.7012731405621663,0.30362399565421205,0.4372448657939906,0.32957674599980985,0.3206662730248523,0.0,0.26551299207400014,0.45489396698405804,0.4317773839490968
Costa Rica Indice Accionario,0.26484878022043756,0.2456231266563769,0.24322996458750676,0.25959367186075927,0.25964650165812597,0.26551299207400014,0.0,0.2576689588730902,0.25031873527296566
加拿大多伦多S&P/TSX 综合指数,0.4414538455256156,0.29041247740508214,0.47360369304873773,0.3033555055893892,0.2962067714806446,0.45489396698405804,0.2576689588730902,0.0,0.48020083944670644
S&P CLX IPSA,0.4189548737833221,0.3130049596911323,0.43266960642429025,0.3237390936746461,0.3236230588878383,0.4317773839490968,0.25031873527296566,0.48020083944670644,0.0
