,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.28343315086027887,0.4188549852067509,0.3336504430050736,0.279818031346006,0.5868596527409005,0.24933275627649693,0.4064780942359605,0.36510760082422866
日经225,0.28343315086027887,0.0,0.2521470263502959,0.4002174500933396,0.4202619443616212,0.26961422510820104,0.25024976935849214,0.25109574028410897,0.2482984880762814
墨西哥BOLSA,0.4188549852067509,0.2521470263502959,0.0,0.31633074442556286,0.28097595465870107,0.46391894586623966,0.2525880438558468,0.5078758652301364,0.42412782987700093
恒生指数,0.3336504430050736,0.4002174500933396,0.31633074442556286,0.0,0.41951393906447065,0.3278672092525847,0.2349654300485403,0.30933507527363163,0.28474750646098157
韩国综合指数,0.279818031346006,0.4202619443616212,0.28097595465870107,0.41951393906447065,0.0,0.28441996132839364,0.24730453433811417,0.2796878637965249,0.2692214043190844
荷兰AEX,0.5868596527409005,0.26961422510820104,0.46391894586623966,0.3278672092525847,0.28441996132839364,0.0,0.2498776310012216,0.4495032965136035,0.3991828499316666
Costa Rica Indice Accionario,0.24933275627649693,0.25024976935849214,0.2525880438558468,0.2349654300485403,0.24730453433811417,0.2498776310012216,0.0,0.24713023340747303,0.2539812034151424
加拿大多伦多S&P/TSX 综合指数,0.4064780942359605,0.25109574028410897,0.5078758652301364,0.30933507527363163,0.2796878637965249,0.4495032965136035,0.24713023340747303,0.0,0.41427439887827416
S&P CLX IPSA,0.36510760082422866,0.2482984880762814,0.42412782987700093,0.28474750646098157,0.2692214043190844,0.3991828499316666,0.2539812034151424,0.41427439887827416,0.0
