,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.26913060953935464,0.32630190159671696,0.33172527821595443,0.30077207671910566,0.5783084823967193,0.2368776409001543,0.3791485899221869,0.3278622432763445
日经225,0.26913060953935464,0.0,0.26628613464549,0.33944717167274036,0.3051704052785801,0.27421272379373923,0.2660585733093203,0.2709551279260055,0.25113891935200483
墨西哥BOLSA,0.32630190159671696,0.26628613464549,0.0,0.3170593611284912,0.29356778582890675,0.3225570833640775,0.24503779186013763,0.3585639266289733,0.3599147834816888
恒生指数,0.33172527821595443,0.33944717167274036,0.3170593611284912,0.0,0.37477014408720954,0.3405150533544743,0.2508594808543397,0.3174316312756702,0.3103495290433095
韩国综合指数,0.30077207671910566,0.3051704052785801,0.29356778582890675,0.37477014408720954,0.0,0.3089150180446278,0.24711207349289552,0.2969581612583536,0.302601123528402
荷兰AEX,0.5783084823967193,0.27421272379373923,0.3225570833640775,0.3405150533544743,0.3089150180446278,0.0,0.23343928437271286,0.3727486473302207,0.3066877955946371
Costa Rica Indice Accionario,0.2368776409001543,0.2660585733093203,0.24503779186013763,0.2508594808543397,0.24711207349289552,0.23343928437271286,0.0,0.24909323066294226,0.2545234533989814
加拿大多伦多S&P/TSX 综合指数,0.3791485899221869,0.2709551279260055,0.3585639266289733,0.3174316312756702,0.2969581612583536,0.3727486473302207,0.24909323066294226,0.0,0.3591156639442075
S&P CLX IPSA,0.3278622432763445,0.25113891935200483,0.3599147834816888,0.3103495290433095,0.302601123528402,0.3066877955946371,0.2545234533989814,0.3591156639442075,0.0
