,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3190045282473338,0.3941949826201922,0.3625048365016358,0.35138240393998177,0.6337839189486383,0.22025300342272358,0.38401162805999567,0.36618363032412865
日经225,0.3190045282473338,0.0,0.2612818263775522,0.44241090554577056,0.43804276469118564,0.3234461659765004,0.24533738167448693,0.2705501417950549,0.2677043849416034
墨西哥BOLSA,0.3941949826201922,0.2612818263775522,0.0,0.30003412958685177,0.28524617129178137,0.3844046395678384,0.23913123354094404,0.48536841523957414,0.4085032960561082
恒生指数,0.3625048365016358,0.44241090554577056,0.30003412958685177,0.0,0.46159846992456777,0.3698888901592422,0.24183387487563296,0.30077579594458187,0.3003829577307558
韩国综合指数,0.35138240393998177,0.43804276469118564,0.28524617129178137,0.46159846992456777,0.0,0.3657833139312947,0.25357650004264265,0.3051624618181809,0.2943347364345789
荷兰AEX,0.6337839189486383,0.3234461659765004,0.3844046395678384,0.3698888901592422,0.3657833139312947,0.0,0.23126114221355684,0.3830152683624215,0.35752541199568677
Costa Rica Indice Accionario,0.22025300342272358,0.24533738167448693,0.23913123354094404,0.24183387487563296,0.25357650004264265,0.23126114221355684,0.0,0.24293824074625653,0.23558276385266907
加拿大多伦多S&P/TSX 综合指数,0.38401162805999567,0.2705501417950549,0.48536841523957414,0.30077579594458187,0.3051624618181809,0.3830152683624215,0.24293824074625653,0.0,0.36888141204776237
S&P CLX IPSA,0.36618363032412865,0.2677043849416034,0.4085032960561082,0.3003829577307558,0.2943347364345789,0.35752541199568677,0.23558276385266907,0.36888141204776237,0.0
