,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.2710496879199592,0.3565185633845245,0.2901519108531675,0.2484214645852496,0.6724139131181047,0.23971183102486465,0.3435133475268689,0.32304405979881123
日经225,0.2710496879199592,0.0,0.27340993996083146,0.3016515161696935,0.35647678556138696,0.2701917750287344,0.26046800380683793,0.24708927883391302,0.27020089534384606
墨西哥BOLSA,0.3565185633845245,0.27340993996083146,0.0,0.2830343046247235,0.24500931290749792,0.3732683254909773,0.2261481281509267,0.36253891908519376,0.37737386500350645
恒生指数,0.2901519108531675,0.3016515161696935,0.2830343046247235,0.0,0.32191346927650055,0.2886458860503551,0.25161027914230805,0.25309034740992026,0.2998441680946785
韩国综合指数,0.2484214645852496,0.35647678556138696,0.24500931290749792,0.32191346927650055,0.0,0.2477102911182543,0.25882440820448543,0.24907040995639987,0.26804203672071514
荷兰AEX,0.6724139131181047,0.2701917750287344,0.3732683254909773,0.2886458860503551,0.2477102911182543,0.0,0.24314328138219102,0.36857095827045555,0.3339770419435247
Costa Rica Indice Accionario,0.23971183102486465,0.26046800380683793,0.2261481281509267,0.25161027914230805,0.25882440820448543,0.24314328138219102,0.0,0.23072731628037854,0.22231280164484882
加拿大多伦多S&P/TSX 综合指数,0.3435133475268689,0.24708927883391302,0.36253891908519376,0.25309034740992026,0.24907040995639987,0.36857095827045555,0.23072731628037854,0.0,0.3292096979432092
S&P CLX IPSA,0.32304405979881123,0.27020089534384606,0.37737386500350645,0.2998441680946785,0.26804203672071514,0.3339770419435247,0.22231280164484882,0.3292096979432092,0.0
