,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.26267869974871344,0.3339346847565571,0.3279980935169629,0.29977354974209264,0.5633693141502797,0.23646697116906185,0.37547899199007206,0.32917628324582904
日经225,0.26267869974871344,0.0,0.2643707756022426,0.3357868139520219,0.3018305877532682,0.2661456085073245,0.2648895999540147,0.26413058404134443,0.25375268274304713
墨西哥BOLSA,0.3339346847565571,0.2643707756022426,0.0,0.3149473345123706,0.3021871127052253,0.3195769010200267,0.24569087358481823,0.3475429881048392,0.3510766718076361
恒生指数,0.3279980935169629,0.3357868139520219,0.3149473345123706,0.0,0.39614530500082207,0.3392714640407411,0.24930008057702732,0.32309091945468454,0.3046614480212863
韩国综合指数,0.29977354974209264,0.3018305877532682,0.3021871127052253,0.39614530500082207,0.0,0.30983716405584477,0.24712850283702667,0.2977451796061942,0.2963729387574237
荷兰AEX,0.5633693141502797,0.2661456085073245,0.3195769010200267,0.3392714640407411,0.30983716405584477,0.0,0.2344373595425805,0.3679804058315124,0.3096404615173672
Costa Rica Indice Accionario,0.23646697116906185,0.2648895999540147,0.24569087358481823,0.24930008057702732,0.24712850283702667,0.2344373595425805,0.0,0.24889781938175548,0.2535963968006929
加拿大多伦多S&P/TSX 综合指数,0.37547899199007206,0.26413058404134443,0.3475429881048392,0.32309091945468454,0.2977451796061942,0.3679804058315124,0.24889781938175548,0.0,0.35416227955294083
S&P CLX IPSA,0.32917628324582904,0.25375268274304713,0.3510766718076361,0.3046614480212863,0.2963729387574237,0.3096404615173672,0.2535963968006929,0.35416227955294083,0.0
