,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.31039762375696445,0.39378166428865535,0.33576087638734875,0.30417097078595207,0.6067350058813968,0.23558218266788322,0.3413768588099194,0.3707804206139007
日经225,0.31039762375696445,0.0,0.2845797362348848,0.42309524047539987,0.4457269644245912,0.3054569123711206,0.22966693042347766,0.2804283582228553,0.283275574913102
墨西哥BOLSA,0.39378166428865535,0.2845797362348848,0.0,0.30477868927326446,0.27998061333067287,0.36737431979736784,0.24535363513827477,0.39409721796088554,0.3721191200484894
恒生指数,0.33576087638734875,0.42309524047539987,0.30477868927326446,0.0,0.4537730664466966,0.321343035016004,0.24040970883293944,0.2867827295909714,0.3137071039753419
韩国综合指数,0.30417097078595207,0.4457269644245912,0.27998061333067287,0.4537730664466966,0.0,0.29895351917223717,0.23328174288069975,0.28486552566256507,0.2905942760510383
荷兰AEX,0.6067350058813968,0.3054569123711206,0.36737431979736784,0.321343035016004,0.29895351917223717,0.0,0.23479797784597775,0.34578018351610007,0.37015288697429255
Costa Rica Indice Accionario,0.23558218266788322,0.22966693042347766,0.24535363513827477,0.24040970883293944,0.23328174288069975,0.23479797784597775,0.0,0.23364654430707904,0.24093486195699138
加拿大多伦多S&P/TSX 综合指数,0.3413768588099194,0.2804283582228553,0.39409721796088554,0.2867827295909714,0.28486552566256507,0.34578018351610007,0.23364654430707904,0.0,0.3629398258371878
S&P CLX IPSA,0.3707804206139007,0.283275574913102,0.3721191200484894,0.3137071039753419,0.2905942760510383,0.37015288697429255,0.24093486195699138,0.3629398258371878,0.0
