,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3240353214748075,0.36583304421474344,0.345585309154778,0.3212246128021461,0.5761090774614127,0.22236054381338313,0.34659062901248294,0.3269345320171907
日经225,0.3240353214748075,0.0,0.2632698624542038,0.403517022808682,0.41930545582889756,0.3380777888305914,0.24748812203904272,0.2835382905013994,0.2709433483800652
墨西哥BOLSA,0.36583304421474344,0.2632698624542038,0.0,0.29486846006940653,0.27399810088021487,0.3498528383338318,0.24184908520727783,0.41369571099292735,0.38052770560134835
恒生指数,0.345585309154778,0.403517022808682,0.29486846006940653,0.0,0.3967750233540682,0.34539583839479415,0.23919164495121958,0.2941389575490655,0.28721455514771466
韩国综合指数,0.3212246128021461,0.41930545582889756,0.27399810088021487,0.3967750233540682,0.0,0.3229985359386177,0.2628668009459552,0.29751039213623043,0.2757993338946164
荷兰AEX,0.5761090774614127,0.3380777888305914,0.3498528383338318,0.34539583839479415,0.3229985359386177,0.0,0.23488170756028265,0.3458173257376357,0.31536384721763605
Costa Rica Indice Accionario,0.22236054381338313,0.24748812203904272,0.24184908520727783,0.23919164495121958,0.2628668009459552,0.23488170756028265,0.0,0.24612995964940193,0.23883895053360296
加拿大多伦多S&P/TSX 综合指数,0.34659062901248294,0.2835382905013994,0.41369571099292735,0.2941389575490655,0.29751039213623043,0.3458173257376357,0.24612995964940193,0.0,0.32394410616309505
S&P CLX IPSA,0.3269345320171907,0.2709433483800652,0.38052770560134835,0.28721455514771466,0.2757993338946164,0.31536384721763605,0.23883895053360296,0.32394410616309505,0.0
