,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3360449996324252,0.35815212657015666,0.3400108367522985,0.318703071431346,0.5691364994376383,0.2213896033257937,0.3441955138169087,0.32374178680121724
日经225,0.3360449996324252,0.0,0.26837617883300885,0.40421910164637154,0.40267203712895566,0.3512578511825894,0.24207936186601706,0.2736662282233336,0.27491641713392406
墨西哥BOLSA,0.35815212657015666,0.26837617883300885,0.0,0.29276481825798434,0.2867841030204261,0.34388462959264643,0.24526247359304962,0.4285223604830598,0.3753388570240161
恒生指数,0.3400108367522985,0.40421910164637154,0.29276481825798434,0.0,0.41282968750079685,0.3434029009145027,0.23717092045713983,0.2886259804464795,0.2824670896887483
韩国综合指数,0.318703071431346,0.40267203712895566,0.2867841030204261,0.41282968750079685,0.0,0.3269357109906218,0.26301969405233167,0.30095293684700086,0.27225619726202605
荷兰AEX,0.5691364994376383,0.3512578511825894,0.34388462959264643,0.3434029009145027,0.3269357109906218,0.0,0.2341139714640514,0.34112842956694056,0.3103222862876008
Costa Rica Indice Accionario,0.2213896033257937,0.24207936186601706,0.24526247359304962,0.23717092045713983,0.26301969405233167,0.2341139714640514,0.0,0.24537699820439313,0.24032380210143764
加拿大多伦多S&P/TSX 综合指数,0.3441955138169087,0.2736662282233336,0.4285223604830598,0.2886259804464795,0.30095293684700086,0.34112842956694056,0.24537699820439313,0.0,0.3242179541284673
S&P CLX IPSA,0.32374178680121724,0.27491641713392406,0.3753388570240161,0.2824670896887483,0.27225619726202605,0.3103222862876008,0.24032380210143764,0.3242179541284673,0.0
