,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
比利时BFX,0.0,0.3008002905807866,0.36676612502236305,0.33363441528933285,0.3423188773137973,0.6673196630937956,0.24568506056067108,0.3901855112944921,0.3167096359035709
日经225,0.3008002905807866,0.0,0.2767472006550411,0.3734048501254389,0.3997360766383408,0.30556588736172635,0.24845631110691888,0.28013101652009004,0.2634527977771668
墨西哥BOLSA,0.36676612502236305,0.2767472006550411,0.0,0.2982830051265087,0.29854919901955296,0.3695789598580288,0.25210413162374057,0.36297519127586764,0.3445641237663715
恒生指数,0.33363441528933285,0.3734048501254389,0.2982830051265087,0.0,0.4576165756599102,0.3516403054839644,0.25486851530294363,0.3075762980720716,0.3064824760091767
韩国综合指数,0.3423188773137973,0.3997360766383408,0.29854919901955296,0.4576165756599102,0.0,0.3555135816043856,0.2576560921610046,0.2951445901393643,0.28185766605864043
荷兰AEX,0.6673196630937956,0.30556588736172635,0.3695789598580288,0.3516403054839644,0.3555135816043856,0.0,0.252576974185771,0.4004450816444108,0.3361797290673728
Costa Rica Indice Accionario,0.24568506056067108,0.24845631110691888,0.25210413162374057,0.25486851530294363,0.2576560921610046,0.252576974185771,0.0,0.23980984987831724,0.23816782514508986
加拿大多伦多S&P/TSX 综合指数,0.3901855112944921,0.28013101652009004,0.36297519127586764,0.3075762980720716,0.2951445901393643,0.4004450816444108,0.23980984987831724,0.0,0.330892405495415
S&P CLX IPSA,0.3167096359035709,0.2634527977771668,0.3445641237663715,0.3064824760091767,0.28185766605864043,0.3361797290673728,0.23816782514508986,0.330892405495415,0.0
