,比利时BFX,日经225,墨西哥BOLSA,恒生指数,韩国综合指数,荷兰AEX,Costa Rica Indice Accionario,加拿大多伦多S&P/TSX 综合指数,S&P CLX IPSA
2004-01-05,0.0050955300433271865,0.013815800861839086,0.026402164726595644,0.015798484192987006,0.0034521354845295413,0.0028550638476234546,0.0,0.010549795124557863,0.00013470734848957376
2004-01-06,0.004864785860389051,-0.001033311921051599,-0.0017299923563326813,0.0023800346467092565,-0.0008133388004283959,-0.004753234873264302,0.0,0.0027926789010092557,-0.012217378730043646
2004-01-07,0.0007191846064508055,-0.0052077342556294546,0.006589984084268726,0.009266310481420879,0.004410791761737322,-0.005686830123418977,-0.005595413377876971,-0.0019733679231010723,-0.0035309782380955113
2004-01-08,0.009514134713847535,0.007393250864775959,0.007837776321274555,0.003483143749607856,-0.003536782553281773,0.014939151000374625,0.005813860072103014,-0.0002515655797637186,0.0008548616499675889
2004-01-09,-0.0008203516746203747,0.0116867589816486,-0.007332310688767897,0.013705681271475095,0.025303550769266738,-0.005139309521761965,-0.007502148857035139,-0.004089951043216793,0.009220104442079213
2004-01-12,-0.0002332754475211487,0.0,0.002877380992428532,-0.0025117804276306222,0.006509226666746321,-0.005809811247411763,-0.00471345574197601,0.003368286340245172,-0.0003997005686282967
2004-01-13,0.003764631185362944,-0.010577355358993774,0.0013716004280508215,0.0033220125455707553,-0.002777746869099685,0.0036241454251766192,-0.011564191324126087,-3.5798006170968756e-06,-0.005380996100396943
2004-01-14,0.009910612234855858,0.001226932987632537,0.0032850579199477726,-0.005671946705613743,0.0014016079559652714,0.012927716275170725,-0.0020795486021847826,0.0027919282249067047,0.009357332700573966
2004-01-15,0.004757550782812114,-0.018381102929597864,-0.003987590238517816,-0.005349516289266317,-0.0046718031269089725,0.012136974518521262,-0.016146997798811832,0.002397237610979197,-0.004464323325778021
2004-01-16,0.010123965785425144,0.017847037853046345,0.00639972679040562,-0.006211794940588059,0.0027042842160747856,0.017150853392477385,-0.009639820710734286,0.011603911583259678,-0.010638796984392091
2004-01-19,0.0009107220304424376,0.016364103671373427,0.005289553989395008,0.006475914789145283,0.01038284734412935,-0.0005875029893838968,-0.008999799171456433,0.00679430677916856,-0.0024078627284687933
2004-01-20,-0.0048906844553033724,0.0060317905599338055,0.008645172529797997,0.023645828335462166,0.005319625854224232,-0.00868483093423126,0.02523430933202439,0.005029079454443058,-0.0013677213080761231
2004-01-21,0.006445806715843042,-0.009111826681026657,0.011197613403824207,0.013187844150338567,0.0,0.008992613642071004,-0.0014993599293734291,-0.00020179177245153318,-0.005247654568308461
2004-01-22,0.0011846284352464364,-0.0001536147880431731,0.007314240782351124,0.0,0.0,0.0014536917938355349,-0.0013033529291038065,-0.003808036562707047,0.0032097881143450776
2004-01-23,-0.0013940726966109162,0.006190404689756135,-0.0017673798221844777,0.0,0.0,-0.002349322853733021,-0.006941527676570454,0.001816930283997938,0.0017076836122166912
2004-01-26,-0.0009178830657953933,-0.008748055595008885,0.00878700686104858,-0.0016966397000968954,0.008865009137732124,-0.0043496020645377165,0.021661440497435694,-0.0011407210104585567,-0.01008160881958841
2004-01-27,0.0031441234817610837,-0.004070208165799385,0.005030243631857625,0.0025180857383944903,-0.006939701189720803,0.00387347159579684,-0.014052383904593306,-0.000784491779209232,0.0007225032271166644
2004-01-28,0.002450659292900815,-0.006938344218470472,-0.006367410794912247,-0.024278910235228997,-0.003993921552909029,0.006339121187268169,-0.018547940748732367,-0.006128299611099284,-0.005026640583684212
2004-01-29,-0.00682413722478268,-0.006752087768220599,-0.01125549908620281,-0.007305626686113887,-0.007145139151010125,-0.014044662843004287,-0.005178261854837938,-0.010167840808409974,-0.012282500906005396
2004-01-30,0.0007805844707527005,0.00038677274800946753,-0.0016383196585602147,-0.003353446619748471,-0.0058403075575744244,-0.0025723305069194143,-0.0014263965877072667,0.008488774218623651,-0.004525327203857899
2004-02-02,0.009236668002467358,-0.0006382088810774947,0.021518322880732153,-0.02201664853952568,0.0075027210149582815,0.0060949989751914796,0.022320360966831647,0.013810378179092597,0.0017516554782179613
2004-02-03,-0.006584718858770159,-0.01258826118451683,0.007135680551185434,0.006901524864642382,-0.017725687733501236,-0.010548591188540214,0.001186078608325914,0.0024056994630007986,0.0036353388929335666
2004-02-04,-0.004327177780076232,-0.018462132878003037,-0.0029591759853048903,-0.00025060416363275115,-0.005216769920289689,-0.00784899781143339,7.049341476945044e-05,-0.014254707665661418,-0.0028279162270695786
2004-02-05,0.0024929296004916235,0.001659346636572457,0.0,-0.004272209952536428,0.006466182561476573,0.0024612226951209928,-0.0022687244763579147,0.0012044576919935741,0.009666608073306809
2004-02-06,0.004533429200956352,-0.00035172364060137275,0.014020281030345869,0.02115904961610814,0.011010370520337483,0.004278386446301038,-0.0039275268034009115,0.010496389501049115,-0.0010382687101993405
2004-02-09,0.007118207602787461,-0.005589672679730108,0.007269575895590913,0.019868035705426307,0.01695667450426306,0.011714241814231908,-0.0005807361321953189,0.006529459023021268,0.0018092571555283848
2004-02-10,-0.0010321565317304535,-0.0035833996436854193,-0.007863997425238559,-0.004504601904592166,0.002344694040678519,0.0007873351923748465,-0.00596347764001438,0.006455107642518328,0.0009873984954831025
2004-02-11,0.0031511608963023336,0.0,0.0071523750227315075,0.000673066494051474,0.010945873825937355,0.005158552469371062,-0.008510938272685025,0.0018516790265420636,0.002970316513014714
2004-02-12,0.004615611738999148,0.00901437387976119,0.00854337633878358,0.007393802129911951,0.0018355009171983421,0.002067155325743826,-0.02184095111394998,-0.00488088333069791,0.001757065317023603
